天数,销量
2019-12-27,2
2019-12-28,24
2019-12-29,14
2019-12-30,58
2019-12-31,153
2020-01-01,31
2020-01-02,45
2020-01-03,34
2020-01-04,28
2020-01-05,199
2020-01-06,36
2020-01-07,15
2020-01-08,4
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,9
2020-01-13,266
2020-01-14,132
2020-01-15,7
2020-01-16,0
2020-01-17,0
2020-01-18,1
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,1
2020-03-28,0
2020-03-29,0
2020-03-30,1
2020-03-31,0
2020-04-01,13
2020-04-02,14
2020-04-03,22
2020-04-04,26
2020-04-05,23
2020-04-06,17
2020-04-07,20
2020-04-08,27
2020-04-09,41
2020-04-10,51
2020-04-11,25
2020-04-12,17
2020-04-13,40
2020-04-14,63
2020-04-15,42
2020-04-16,48
2020-04-17,48
2020-04-18,52
2020-04-19,38
2020-04-20,36
2020-04-21,46
2020-04-22,50
2020-04-23,45
2020-04-24,61
2020-04-25,46
2020-04-26,50
2020-04-27,45
2020-04-28,44
2020-04-29,61
2020-04-30,47
2020-05-01,48
2020-05-02,53
2020-05-03,46
2020-05-04,59
2020-05-05,37
2020-05-06,30
2020-05-07,41
2020-05-08,25
2020-05-09,23
2020-05-10,29
2020-05-11,30
2020-05-12,22
2020-05-13,17
2020-05-14,40
2020-05-15,56
2020-05-16,12
2020-05-17,16
2020-05-18,19
2020-05-19,13
2020-05-20,24
2020-05-21,22
2020-05-22,16
2020-05-23,23
2020-05-24,17
2020-05-25,23
2020-05-26,27
2020-05-27,16
2020-05-28,19
2020-05-29,15
2020-05-30,15
2020-05-31,20
2020-06-01,24
2020-06-02,15
2020-06-03,20
2020-06-04,26
2020-06-05,13
2020-06-06,14
2020-06-07,19
2020-06-08,29
2020-06-09,14
2020-06-10,22
2020-06-11,21
2020-06-12,20
2020-06-13,22
2020-06-14,9
2020-06-15,22
2020-06-16,17
2020-06-17,56
2020-06-18,73
2020-06-19,26
2020-06-20,30
2020-06-21,4
2020-06-22,8
2020-06-23,15
2020-06-24,10
2020-06-25,8
2020-06-26,11
2020-06-27,8
2020-06-28,8
2020-06-29,8
2020-06-30,8
2020-07-01,17
2020-07-02,8
2020-07-03,7
2020-07-04,16
2020-07-05,19
2020-07-06,12
2020-07-07,5
2020-07-08,10
2020-07-09,11
2020-07-10,15
2020-07-11,21
2020-07-12,14
2020-07-13,10
2020-07-14,8
2020-07-15,6
2020-07-16,13
2020-07-17,3
2020-07-18,8
2020-07-19,10
2020-07-20,3
2020-07-21,15
2020-07-22,8
2020-07-23,6
2020-07-24,13
2020-07-25,8
2020-07-26,36
2020-07-27,39
2020-07-28,37
2020-07-29,21
2020-07-30,6
2020-07-31,7
2020-08-01,11
2020-08-02,6
2020-08-03,10
2020-08-04,10
2020-08-05,14
2020-08-06,8
2020-08-07,16
2020-08-08,15
2020-08-09,11
2020-08-10,13
2020-08-11,15
2020-08-12,9
2020-08-13,37
2020-08-14,40
2020-08-15,36
2020-08-16,62
2020-08-17,19
2020-08-18,11
2020-08-19,13
2020-08-20,10
2020-08-21,17
2020-08-22,57
2020-08-23,49
2020-08-24,27
2020-08-25,13
2020-08-26,16
2020-08-27,18
2020-08-28,14
2020-08-29,13
2020-08-30,9
2020-08-31,8
2020-09-01,6
2020-09-02,10
2020-09-03,13
2020-09-04,24
2020-09-05,14
2020-09-06,13
2020-09-07,17
2020-09-08,14
2020-09-09,19
2020-09-10,12
2020-09-11,16
2020-09-12,18
2020-09-13,14
2020-09-14,12
2020-09-15,22
2020-09-16,10
2020-09-17,16
2020-09-18,8
2020-09-19,0
2020-09-20,0
2020-09-21,0
2020-09-22,0
2020-09-23,8
2020-09-24,13
2020-09-25,13
2020-09-26,19
2020-09-27,21
2020-09-28,19
2020-09-29,6
2020-09-30,9
2020-10-01,6
2020-10-02,9
2020-10-03,4
2020-10-04,11
2020-10-05,7
2020-10-06,7
2020-10-07,10
2020-10-08,10
2020-10-09,13
2020-10-10,9
2020-10-11,17
2020-10-12,14
2020-10-13,10
2020-10-14,5
2020-10-15,10
2020-10-16,11
2020-10-17,12
2020-10-18,13
2020-10-19,5
2020-10-20,0
2020-10-21,4
2020-10-22,8
2020-10-23,10
2020-10-24,9
2020-10-25,10
2020-10-26,12
2020-10-27,4
2020-10-28,17
2020-10-29,9
2020-10-30,17
2020-10-31,15
2020-11-01,9
2020-11-02,17
2020-11-03,4
2020-11-04,7
2020-11-05,7
2020-11-06,6
2020-11-07,10
2020-11-08,12
2020-11-09,10
2020-11-10,22
2020-11-11,46
2020-11-12,17
2020-11-13,8
2020-11-14,6
2020-11-15,7
2020-11-16,7
2020-11-17,7
2020-11-18,3
2020-11-19,4
2020-11-20,5
2020-11-21,8
2020-11-22,4
2020-11-23,2
2020-11-24,7
2020-11-25,3
2020-11-26,4
2020-11-27,4
2020-11-28,6
2020-11-29,8
2020-11-30,9
2020-12-01,4
2020-12-02,4
2020-12-03,2
2020-12-04,7
2020-12-05,3
2020-12-06,1
2020-12-07,10
2020-12-08,3
2020-12-09,0
2020-12-10,1
2020-12-11,1
2020-12-12,6
2020-12-13,8
2020-12-14,2
2020-12-15,3
2020-12-16,0
2020-12-17,8
2020-12-18,3
2020-12-19,1
2020-12-20,3
2020-12-21,3
2020-12-22,6
2020-12-23,6
2020-12-24,2
2020-12-25,3
2020-12-26,1
